speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
olsfly,Olive-sided Flycatcher,Contopus cooperi,L129789,Scotia  Barrens (IBA)--general,2023-05-24 16:38,1,40.789936,-77.951136,True,False,False,S139133957
prawar,Prairie Warbler,Setophaga discolor,L1185879,Ft. Necessity National Battlefield,2023-05-24 16:12,1,39.8151456,-79.5891023,True,False,False,S139151752
yerwar,Yellow-rumped Warbler,Setophaga coronata,L5837624,Plainfield Twp. Rec. Trail--North,2023-05-24 15:48,1,40.8264414,-75.2671865,True,False,False,S139129124
herthr,Hermit Thrush,Catharus guttatus,L5837624,Plainfield Twp. Rec. Trail--North,2023-05-24 15:48,1,40.8264414,-75.2671865,True,False,False,S139129124
aldfly,Alder Flycatcher,Empidonax alnorum,L5837624,Plainfield Twp. Rec. Trail--North,2023-05-24 15:48,1,40.8264414,-75.2671865,True,False,False,S139129124
btbwar,Black-throated Blue Warbler,Setophaga caerulescens,L5837624,Plainfield Twp. Rec. Trail--North,2023-05-24 15:48,1,40.8264414,-75.2671865,True,False,False,S139129124
buwwar,Blue-winged Warbler,Vermivora cyanoptera,L129789,Scotia  Barrens (IBA)--general,2023-05-24 15:33,1,40.789936,-77.951136,True,False,False,S139133866
btnwar,Black-throated Green Warbler,Setophaga virens,L24630460,Whiskey Springs Climbing Area/Appalachian Trail,2023-05-24 15:08,1,40.0976669,-77.1284233,True,False,True,S139141292
linspa,Lincoln's Sparrow,Melospiza lincolnii,L2230293,1 Near Ravine Park,2023-05-24 15:06,1,42.1162567,-80.1297226,True,False,True,S139123537
semsan,Semipalmated Sandpiper,Calidris pusilla,L630368,Dashields Dam,2023-05-24 14:52,2,40.5530399,-80.2133274,True,False,False,S139119949
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L527306,State Game Lands 214--Miller Ponds,2023-05-24 14:42,2,41.6061661,-80.4182804,True,False,False,S139141010
semplo,Semipalmated Plover,Charadrius semipalmatus,L527306,State Game Lands 214--Miller Ponds,2023-05-24 14:42,1,41.6061661,-80.4182804,True,False,False,S139141010
greyel,Greater Yellowlegs,Tringa melanoleuca,L527306,State Game Lands 214--Miller Ponds,2023-05-24 14:42,1,41.6061661,-80.4182804,True,False,False,S139141010
dunlin,Dunlin,Calidris alpina,L527306,State Game Lands 214--Miller Ponds,2023-05-24 14:42,1,41.6061661,-80.4182804,True,False,False,S139141010
brwhaw,Broad-winged Hawk,Buteo platypterus,L24626470,"Laurel Rd, Clarion US-PA 41.17600, -79.45127",2023-05-24 14:40,1,41.175998,-79.451274,True,False,True,S139121501
blugrb1,Blue Grosbeak,Passerina caerulea,L3258198,Cumberland Valley Rail Trail--Newville,2023-05-24 14:33,1,40.1651601,-77.4062884,True,False,False,S139119991
babwar,Bay-breasted Warbler,Setophaga castanea,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 14:22,2,39.8893501,-75.2601457,True,False,False,S139141455
marwre,Marsh Wren,Cistothorus palustris,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 14:22,5,39.8893501,-75.2601457,True,False,False,S139141455
lesyel,Lesser Yellowlegs,Tringa flavipes,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 14:22,2,39.8893501,-75.2601457,True,False,False,S139141455
norwat,Northern Waterthrush,Parkesia noveboracensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 14:22,2,39.8893501,-75.2601457,True,False,False,S139141455
leabit,Least Bittern,Ixobrychus exilis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 14:22,1,39.8893501,-75.2601457,True,False,False,S139141455
tenwar,Tennessee Warbler,Leiothlypis peregrina,L129756,Presque Isle SP (IBA),2023-05-24 13:39,2,42.15868,-80.0994568,True,False,False,S139132011
phivir,Philadelphia Vireo,Vireo philadelphicus,L129756,Presque Isle SP (IBA),2023-05-24 13:39,1,42.15868,-80.0994568,True,False,False,S139132011
henspa,Henslow's Sparrow,Centronyx henslowii,L2159535,Imperial Grasslands--Burgettstown/Robinson Rd. Area,2023-05-24 13:36,1,40.4590173,-80.2835369,True,False,False,S139114145
sancra,Sandhill Crane,Antigone canadensis,L733414,Conneaut Marsh--McMichael/Brown Hill Rd.,2023-05-24 13:15,2,41.587218,-80.2651531,True,False,False,S139130368
prowar,Prothonotary Warbler,Protonotaria citrea,L733414,Conneaut Marsh--McMichael/Brown Hill Rd.,2023-05-24 13:15,1,41.587218,-80.2651531,True,False,False,S139130368
solsan,Solitary Sandpiper,Tringa solitaria,L831953,Middle Creek WMA (IBA) (Lancaster Co.),2023-05-24 12:20,1,40.2716676,-76.247735,True,False,False,S139158395
rinphe1,Ring-necked Pheasant,Phasianus colchicus,L831953,Middle Creek WMA (IBA) (Lancaster Co.),2023-05-24 12:20,6,40.2716676,-76.247735,True,False,False,S139158395,X
vesspa,Vesper Sparrow,Pooecetes gramineus,L831953,Middle Creek WMA (IBA) (Lancaster Co.),2023-05-24 12:20,1,40.2716676,-76.247735,True,False,False,S139158395
wlswar,Wilson's Warbler,Cardellina pusilla,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2023-05-24 12:03,1,39.8893501,-75.2601457,True,False,False,S139111731
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L5533856,Home at 1041 Resolution,2023-05-24 12:00,1,40.6455667,-75.3934193,True,False,True,S139119118
